,qname,seqLength,sampleQnamesChr,subTeloAlignLength,teloBPLengths
0,7ea393e5-d8f1-4c55-8cf3-e6d60f27c956,8318,chr11:p-arm,967,7006
1,826a70a5-57b3-4399-a161-cf34bb4b61c4,22185,chr8:q-arm,14343,3853
2,07e00df1-9936-46d4-adf7-39dd48cf4d7a,22606,chr14:q-arm,12314,7798
3,dc5720a9-5eff-4f4a-8490-a09c320ab57c,11153,chr3:q-arm,3789,6586
4,47a4b521-a52e-410c-97e9-d2ec4ecfff85,44075,chr4:p-arm,32830,7516
5,08ce1566-9ab5-4c0f-a1b9-207af0387fd4,12894,chr14:p-arm,1289,210
6,e05e27d6-2fe0-4bf8-92e7-e80d1a961dc6,18104,chr11:q-arm,6601,7768
7,400e2917-bfa1-4ad4-9223-2067c1e53da0,10048,chr16:q-arm,52,60
8,dffdbd53-a7bd-40fa-b03d-d8aa8a5d9b33,18831,chr13:q-arm,10999,6085
9,f3de9491-313f-4914-ad90-bc2bd5cd8883,1831,chr19:q-arm,64,640
10,88d3e19d-73bb-4d77-b07a-e1b61240eaee,8598,chr14:q-arm,4267,3730
11,bf2905c7-5047-437d-baa6-f716cc4be34a,16541,chr22:p-arm,3139,11856
12,1cf52dfc-0ee4-4726-81c0-189173cdb945,6545,chr13:q-arm,2614,3212
14,ea66a5e4-cf6a-44a6-a0d7-0c9e2bf1bffd,4599,chr8:q-arm,1414,3362
15,17bd8061-0b6d-44a5-b3b4-127b8628e284,10285,chr5:p-arm,3726,5240
17,c6a11dc8-5212-4e7b-989d-778555f24537,14767,chr17:p-arm,6319,3466
18,7ef2fc69-9ce5-480d-beb7-a088ccfd190e,3866,chr19:q-arm,161,3702
20,ee0f07d8-e8e8-4e96-ba58-1b12c551e690,9037,chr1:q-arm,1253,7330
21,a926c959-deab-4aa8-83b7-65707a831578,4180,chr3:q-arm,1309,2506
22,1dfb7c04-7f45-4bdc-882a-6c173da4731e,17497,chr15:q-arm,7901,8524
27,f7a70b5f-970e-4f9e-893c-cb00005de79c,7085,chr20:p-arm,69,5984
28,a4e735d2-99e5-4f27-8ad0-1766fe3a7c88,5358,chr6:q-arm,123,4761
29,18a7aeec-68ef-46b2-adf8-72cd3e0550c2,7629,chr20:p-arm,204,6359
31,bb91129e-36dd-47fc-860a-1415164c4d09,4866,chr6:q-arm,740,3437
32,9ef06d80-88d3-4b73-a705-07a55a2d15a2,10659,chr11:q-arm,5574,4102
33,8c624eb6-9bdc-4649-8a60-75aedf758fba,4964,chr8:q-arm,3362,1678
34,ecb5b87f-3135-4e03-a3e5-0ebea26bd9df,1655,chr20:q-arm,1032,192
35,1a1007c0-f8ed-4955-b9ce-4f8ec33d3fb6,12891,chr3:q-arm,1487,11084
36,bdb4bc2e-44bd-4c4c-ab89-821d53df1e6b,3146,chrX:q-arm,264,144
37,5d166ff0-0e19-4321-aa8d-f0e01f8df5b7,4806,chr1:q-arm,433,3970
38,d348e585-b45d-4461-8947-6ab5e5ef2f68,9168,chr11:p-arm,1324,7708
39,cd0c3ed4-f719-4cd9-95f7-d6f9487f467b,23779,chr4:p-arm,244,180
41,d42b1f4e-87df-4d58-b076-b2facf06a7a7,45959,chr6:q-arm,25698,15214
42,8ac0fa08-55a9-4196-9543-2343b9c21ac9,6776,chr16:p-arm,1333,4941
43,6c21b2fa-8e43-485c-a091-bc89cd41114a,4585,chr12:p-arm,1353,2533
44,588b3888-dec1-4106-8541-916c91c1d616,15310,chr1:q-arm,7572,5313
45,d5e99b8e-97d6-4016-a0f7-0ff31892d988,2754,chr19:q-arm,108,1959
47,e2da579e-4222-42f1-a6de-53e401ec378c,41504,chr8:p-arm,24808,12708
48,65b2da26-707c-4b83-850f-1f40de161dcf,9404,chr11:p-arm,2472,6442
49,b134b4a4-533f-4094-b787-289cd892299e,11114,chr14:q-arm,7593,1902
50,55910c97-8bd6-4080-a739-98c6e42e2b19,21301,chrX:p-arm,12467,4405
51,d6b91e01-9169-4959-913a-f4dc2854d0ec,27679,chr2:p-arm,19167,5386
52,a817b20e-bb40-46d9-9758-d00223fcfa59,12802,chr10:q-arm,2950,7756
53,3960db69-7aed-4efd-9171-7d2a8449f21c,15454,chr6:p-arm,106,106
54,e6b7f3a8-e4fa-48f4-b55a-faab07518807,68190,chr8:q-arm,50442,8504
55,e362ab2f-72ec-410f-9ead-d3a852c91bc0,46173,chr8:q-arm,32753,9559
56,f0663d88-6046-48cc-ac49-13e482f0572f,15176,chr19:q-arm,2205,10484
57,0f0c9e0d-8468-4506-a656-a3f787ba49c2,4862,chr18:q-arm,745,3954
58,26e8e5b3-746f-4fa6-9a95-c9010b343e1f,15972,chr5:q-arm,185,30
59,bd204c9b-4b2d-4693-99b4-82570a36ea83,6296,chr14:q-arm,3640,1142
60,d6bf17f7-909d-4e0b-a35c-a1263ddd6552,10570,chr10:p-arm,3509,5674
61,3835c3b1-c2f3-4750-9235-7a466b70dcac,11280,chr22:q-arm,76,114
62,2610f9fd-59ac-443b-8e97-fdc647a4d5f0,11447,chr3:q-arm,942,9638
63,0f71c93a-85f8-4d9b-809e-d6d67b195d00,7759,chr11:q-arm,123,7462
64,bf166b6e-75e7-4f45-9873-80874b68e873,19265,chr14:q-arm,15712,1399
65,be9b466a-150e-47c8-b1d1-b930ca83a55b,20474,chr6:p-arm,12106,5416
66,aaa29fef-b619-414f-b61c-9fc65e7e23f9,1788,chr3:p-arm,133,1241
67,57039f34-a0f6-49bd-942a-471d85a6b150,42549,chr18:q-arm,31552,4137
68,bcd1aa98-2dc8-44f8-9455-fe536762e504,23286,chr14:q-arm,15678,5438
69,5aa6f725-5664-47a0-ab75-c21befd381f8,14678,chr3:p-arm,10102,3441
70,263b36f0-1270-4b50-9cb8-65a8d5261bce,6520,chr17:q-arm,59,90
71,833c65a1-408f-48ba-a44c-da210710a3f8,7557,chr1:p-arm,1044,5662
72,90061ccc-eaff-4f34-9e6a-53789d62da7a,46915,chr5:p-arm,36038,5024
73,bc408e62-0e7e-4895-b583-d127d0bc7b65,28853,chr17:p-arm,15824,4372
74,0587e807-e06f-4ce4-809b-d8d3004b20a6,4202,chr20:q-arm,251,3961
75,e7031601-ad99-4477-91f1-a17a5ab989ac,25944,chr4:q-arm,12452,10828
76,96dee156-4e49-4cc2-869b-1846ffca9a33,7407,chrX:p-arm,60,7246
77,72faf904-0a4e-4eab-bc1a-e2eb8f334d76,2197,chr19:q-arm,93,1137
78,310aa5d6-0c4a-4b0b-94a0-f67d782b3f73,45976,chr7:p-arm,31210,8013
79,0412341d-2802-41ca-9955-1c85a4b41da3,5680,chr7:q-arm,3003,1957
81,70f9a2ba-7506-4693-8033-3c1763e15b37,12511,chr14:p-arm,482,12018
83,6a896bcb-2f17-4057-90f4-784d4cc4e52f,21594,chr14:q-arm,12391,3515
85,eb095813-d630-4456-a354-f219b43fb908,15395,chr4:q-arm,355,120
86,2bbf4494-1d50-4cec-b62c-f2865266f716,36138,chr1:p-arm,24943,5374
87,e8a34522-1300-475c-981b-3c1bd8a875ec,34997,chr5:p-arm,21651,9169
88,ba710f2a-2522-4518-b1dc-d4b30e2872e0,7445,chr19:q-arm,90,6158
89,c93c9274-151a-4ca3-ba81-48587a613943,10249,chr7:q-arm,1931,7643
90,3a771998-3662-46a8-83cd-48298cff73ce,52844,chr6:p-arm,34219,9521
91,2e29c941-0954-495b-9d3f-e958b1808669,20233,chr6:p-arm,10983,5331
92,ea7fbe37-19f5-40fe-9c0a-526ceea9ef44,12896,chr1:p-arm,2110,8182
93,6966204b-6d9b-4340-bdf6-56e6c256d7ee,6319,chr11:p-arm,2457,3742
94,560ebb9b-5908-4937-9340-14699df1259c,14821,chr18:p-arm,9497,3555
95,b9b0e615-f4a9-435d-9f5f-9c75277f239f,28810,chr19:q-arm,13680,12388
96,aa1a3d53-e8c9-4694-82aa-ba5156cf240a,5018,chr17:q-arm,295,4624
97,fa0e3e14-38a8-481b-9699-8ec2e43878fe,2774,chr20:p-arm,67,2607
99,be317b55-ea9c-4da1-b7bd-c5740b550f28,8870,chr12:p-arm,1513,6626
100,6ba571e2-7818-4b0f-b2de-b4fb7a84348b,7135,chrX:q-arm,1015,6101
102,c66dea35-01fa-4b8a-863e-36371f815f1f,40345,chr7:p-arm,32884,2089
103,7ef5096a-b160-46f8-8cdc-879c43863342,5920,chrX:q-arm,1749,3868
104,0839f575-37a6-4b04-953c-fe90ab572e8f,10415,chrX:p-arm,49,10257
105,f409b147-3f5e-4dee-9b4d-e7f0aeee019d,3837,chr19:q-arm,110,2546
106,43a337fa-bcda-4517-82c6-0eb469d7529a,7887,chr6:q-arm,5978,1026
107,d02ce6aa-3049-4374-8604-9766c7c775ab,23586,chr16:q-arm,15941,4440
108,60490af5-0cb6-4bf0-8838-baeef40d5c87,3576,chr6:q-arm,65,3418
109,609361d7-a0eb-4309-be65-9c0bc6c6681f,5442,chr10:p-arm,736,4156
110,ea725854-7ba6-4aa4-8ca9-3b564e13f216,29832,chr10:q-arm,20886,5788
112,2285a53e-d198-4e2e-8248-dda97efeac30,7413,chrX:q-arm,1735,5563
113,235df500-f8d2-4894-855f-1e78f509e4d8,37432,chr17:q-arm,21316,5950
114,cfa45b74-69b6-491a-89a6-f059586cfc39,33742,chr21:p-arm,23947,7316
115,51ad0b4a-ee13-4639-81b1-301b382fdf8c,18229,chr18:p-arm,10730,5946
116,1b040f4f-fd95-4e6c-a7e2-7091a90afa7f,58181,chr4:p-arm,31482,9360
118,8c54da05-a85a-41ed-913c-7990557309a8,11041,chr17:q-arm,4177,5596
119,b0106987-0e84-4e6e-9081-bf314cc325c3,20920,chr10:p-arm,47,162
120,0d9543c0-7e1e-41e6-bda6-9bbda3a45d75,4283,chr14:q-arm,98,60
121,49255e7a-02fd-47b1-8a88-a19e0ded0a5d,44830,chr17:q-arm,29590,7188
122,1e14631c-86c7-49e9-bb9e-2f17b28b35eb,13332,chr18:q-arm,10401,1034
123,ad94642b-5c57-4aeb-a3f5-af15d3cf4c86,23969,chr16:p-arm,14338,7536
124,8fd8e12e-66fc-4f3f-b5a9-690779d6a638,10518,chr11:q-arm,4400,4108
125,e828e146-6105-49c7-a12f-bf6cec1eb843,8358,chr5:q-arm,2935,4384
126,42806faf-f292-4cb6-9d40-a77ea13601aa,23287,chr7:p-arm,12613,4008
127,3fbee20b-8768-4115-be9d-6b85056051ed,44657,chr20:p-arm,34565,5001
128,e8316e65-a013-44ac-a492-6a14c6a11609,8228,chr9:q-arm,3555,3808
129,d8b58716-1500-4521-b17b-7aa4bbf04509,3292,chr11:q-arm,684,2566
130,661236fa-f1ff-4c44-9db9-5b10ccc96a53,9606,chr1:q-arm,4229,4828
132,fefc3321-3d7e-47be-8e02-fce582552650,4659,chr20:q-arm,1252,3130
133,df6f3dae-2f8e-4c4c-af53-7dcb644888fc,21280,chr7:p-arm,16499,1992
134,4040baf9-65c8-4777-9f9b-5c809d8e6fea,9052,chr21:p-arm,6040,1648
136,91815b66-c833-4f4a-b960-b8de536f1cc2,25953,chr2:p-arm,82,108
137,4689972d-95f9-4db9-821e-803b05f05b6d,7485,chr19:p-arm,1335,5642
138,c9531826-04b9-45b8-aa32-16326761a09c,9216,chr9:p-arm,1428,7166
139,cf76e1c1-96a9-4928-9270-ff02926751f4,18549,chr18:p-arm,10918,6288
140,9787d354-ec6d-4595-8018-36487fc368ba,14403,chrX:p-arm,57,84
141,ff87cae7-bb1c-4ca1-a890-96e6c9c12734,7704,chr12:p-arm,1641,5553
143,13e0ebf2-7fb1-4484-ba0e-7422e191bc1a,33278,chr6:q-arm,24545,2791
145,6381d5e2-060a-4a25-8443-4f59bb666089,32186,chr4:q-arm,19001,9178
146,d18c41fe-39e7-41c5-b9bf-32a30eb82578,4193,chr9:p-arm,1003,2662
147,8db0c8ce-7309-47e2-bfac-7adb77ee5e1a,32455,chrX:p-arm,14902,11192
